year,lat,lon,quarter,country,month,haul_id,ices_rect,sub_div,oxy,temp,sal,depth,X,Y,depth_ct,depth_sc,depth_sq,year_f,quarter_f,group,species,life_stage,density
1993,54.6833,13,1,GFR,2,1993:1:GFR:SOL:H20:21:1,38G3,24,8.48853815069987,3.35773682594299,12.6914523442586,9,371.065882393692,6061.38679358094,-38.62240932642487,-1.4150670440403492,2.0024147391290916,1993,1,cod_juvenile,cod,juvenile,7.538096045303444
1993,54.5167,14.2667,1,GFR,2,1993:1:GFR:SOL:H20:22:32,38G4,24,8.89105366387736,3.203320423762,8.85168774922689,7,452.53015469093,6041.25979625592,-40.62240932642487,-1.4883440388585976,2.2151679780059226,1993,1,cod_juvenile,cod,juvenile,0
1993,54.5167,14.15,1,GFR,2,1993:1:GFR:SOL:H20:23:31,38G4,24,8.89817700582275,3.15315969785055,8.86577320098877,8,444.975800708309,6041.34479490328,-39.62240932642487,-1.4517055414494735,2.107448979075109,1993,1,cod_juvenile,cod,juvenile,0.00459266719603773
1993,54.4833,13.9833,1,GFR,2,1993:1:GFR:SOL:H20:24:30,37G3,24,8.89095549413961,3.13979387283325,9.17636839548747,6,434.131231368106,6037.77172551276,-41.62240932642487,-1.5249825362677216,2.325571735921533,1993,1,cod_juvenile,cod,juvenile,0
1993,54.7333,13.0833,1,GFR,2,1993:1:GFR:SOL:H20:25:2,38G3,24,8.45155412557678,3.32635410626729,12.7751436233521,13,376.587254380782,6066.79963180069,-34.62240932642487,-1.2685130544038528,1.6091253691929919,1993,1,cod_juvenile,cod,juvenile,139.17256272869764
1993,54.7,13.1833,1,GFR,2,1993:1:GFR:SOL:H20:26:3,38G3,24,8.4725647271759,3.33797272046407,12.5824578603109,15,382.929407064085,6062.92351543716,-32.62240932642487,-1.1952360595856044,1.4285892381337224,1993,1,cod_juvenile,cod,juvenile,56.09667184871686
1993,54.55,13.8,1,GFR,2,1993:1:GFR:SOL:H20:27:27,38G3,24,8.547026359375,3.80610505739848,11.8978157043457,11,422.382907763457,6045.37990686378,-36.62240932642487,-1.341790049222101,1.8004005361914486,1993,1,cod_juvenile,cod,juvenile,1.8194076347936312
1993,54.7,14.1167,1,GFR,2,1993:1:GFR:SOL:H20:28:24,38G4,24,8.49049630669861,3.72189863522848,10.0831104914347,15,443.076544096732,6061.76666695213,-32.62240932642487,-1.1952360595856044,1.4285892381337224,1993,1,cod_juvenile,cod,juvenile,370.599673425756
1993,54.5833,14.0833,1,GFR,2,1993:1:GFR:SOL:H20:29:29,38G4,24,8.77065155544637,3.4512144724528,9.04206720987956,10,440.75472552342,6048.80932223614,-37.62240932642487,-1.3784285466312252,1.9000652581678716,1993,1,cod_juvenile,cod,juvenile,0.0870992269171663
1993,54.5833,13.8667,1,GFR,2,1993:1:GFR:SOL:H20:30:28,38G3,24,8.443263679835,3.78665733337402,11.7904710769653,10,426.756655812943,6049.01342641196,-37.62240932642487,-1.3784285466312252,1.9000652581678716,1993,1,cod_juvenile,cod,juvenile,0
1993,54.6333,14.15,1,GFR,2,1993:1:GFR:SOL:H20:31:25,38G4,24,8.65284468133545,3.61191821098328,9.60794385274251,16,445.132650748598,6054.31854439127,-31.622409326424872,-1.1585975621764804,1.3423483110812833,1993,1,cod_juvenile,cod,juvenile,10.152121474151093
1993,54.7333,13.3667,1,GFR,2,1993:1:GFR:SOL:H20:32:5,38G3,24,8.26421346677551,3.42389369010925,14.8191226323446,20,394.833065132151,6066.3379733912,-27.622409326424872,-1.012043572539984,1.0242321927194937,1993,1,cod_juvenile,cod,juvenile,285.48684248646805
1993,54.7333,13.5167,1,GFR,2,1993:1:GFR:SOL:H20:33:6,38G3,24,8.31934272156982,3.42868487040202,14.1104564666748,21,404.490695857316,6066.12346290396,-26.622409326424872,-0.9754050751308597,0.9514150605910381,1993,1,cod_juvenile,cod,juvenile,141.12765846690723
1993,54.6833,13.6333,1,GFR,2,1993:1:GFR:SOL:H20:34:7,38G3,24,8.35087684572957,3.52442757288615,13.3547665278117,21,411.889712420494,6060.40782782333,-26.622409326424872,-0.9754050751308597,0.9514150605910381,1993,1,cod_juvenile,cod,juvenile,265.2795884067192
