year,lat,lon,quarter,country,month,haul_id,ices_rect,sub_div,month_year,oxy,temp,sal,depth,substrate,X,Y,depth_obs,depth_ct,depth_sc,depth_sq,year_f,quarter_f,group,species,life_stage,density
1993,54.6833,13,1,GFR,2,1993:1:GFR:SOL:H20:21:1,38G3,24,2_1993,8.55431665820618,2.98472332954407,13.1815385818481,18.7099990844727,sand,371.065882393692,6061.38679358094,19,-35.81441451197187,-1.6334527939618475,2.6681680301017656,1993,1,cod_juvenile,cod,juvenile,15.076192090606876
1993,54.5167,14.2667,1,GFR,2,1993:1:GFR:SOL:H20:22:32,38G4,24,2_1993,8.82464331680603,2.89971303939819,9.10033226013184,17.0900001525879,sand,452.53015469093,6041.25979625592,18,-37.43441344385667,-1.707339015963826,2.9150065154323257,1993,1,cod_juvenile,cod,juvenile,0
1993,54.5167,14.15,1,GFR,2,1993:1:GFR:SOL:H20:23:31,38G4,24,2_1993,8.85158100173645,2.87902688980103,9.11681652069092,17.2199993133545,sand,444.975800708309,6041.34479490328,18,-37.30441428309007,-1.7014099090592327,2.8947956786449467,1993,1,cod_juvenile,cod,juvenile,0.00918533439207547
1993,54.4833,13.9833,1,GFR,2,1993:1:GFR:SOL:H20:24:30,37G3,24,2_1993,8.82805921369019,2.94293761253357,9.49749279022217,17.25,sand,434.131231368106,6037.77172551276,17,-37.27441359644457,-1.700041613469604,2.890141487528334,1993,1,cod_juvenile,cod,juvenile,0
1993,54.7333,13.0833,1,GFR,2,1993:1:GFR:SOL:H20:25:2,38G3,24,2_1993,8.48329005574036,2.95979261398315,13.2941675186157,24.2399997711182,mud,376.587254380782,6066.79963180069,26,-30.284413825326368,-1.3812360484055988,1.9078130214151137,1993,1,cod_juvenile,cod,juvenile,278.3451254573954
1993,54.7,13.1833,1,GFR,2,1993:1:GFR:SOL:H20:26:3,38G3,24,2_1993,8.51919353043213,2.95201826095581,13.0865678787231,24.5900001525879,sand,382.929407064085,6062.92351543716,27,-29.934413443856666,-1.365272947827526,1.8639702220696628,1993,1,cod_juvenile,cod,juvenile,112.19334369743372
1993,54.55,13.8,1,GFR,2,1993:1:GFR:SOL:H20:27:27,38G3,24,2_1993,8.52907154710693,3.32461905479431,12.576922416687,21.3899993896484,sand,422.382907763457,6045.37990686378,23,-33.134414206796166,-1.511221171695776,2.283789429781554,1993,1,cod_juvenile,cod,juvenile,3.638815269587264
1993,54.7,14.1167,1,GFR,2,1993:1:GFR:SOL:H20:28:24,38G4,24,2_1993,8.46724989501648,3.55800008773804,10.3798770904541,26.7900009155273,sand,443.076544096732,6061.76666695213,27,-27.734412680917266,-1.2649335330441207,1.6000568430194817,1993,1,cod_juvenile,cod,juvenile,741.1993468515113
1993,54.5833,14.0833,1,GFR,2,1993:1:GFR:SOL:H20:29:29,38G4,24,2_1993,8.68488263718872,3.3140606880188,9.33185005187988,20.1800003051758,sand,440.75472552342,6048.80932223614,22,-34.344413291268765,-1.5664077889323178,2.4536333612278325,1993,1,cod_juvenile,cod,juvenile,0.174198453834333
1993,54.5833,13.8667,1,GFR,2,1993:1:GFR:SOL:H20:30:28,38G3,24,2_1993,8.42997910492859,3.3047182559967,12.354211807251,20.7099990844727,sand,426.756655812943,6049.01342641196,22,-33.81441451197187,-1.5422351757921675,2.3784893374506977,1993,1,cod_juvenile,cod,juvenile,0
